"data_source","data_source_short","pcr_gene_target","region","wwtp_name","Label_Name","most_recent_sample","trend_interval","detections_category","Very_Low_Threshold","Low_Threshold","Medium_Threshold","High_Threshold","level","trend","model_pc","model_pc_lwr","model_pc_upr","report_include","metrics_as_of","rpho_region"
"CDPH Drinking Water and Radiation Lab","dwrl","h5","Bay Area","Amer_Canyon_Napa","Napa (American Canyon)","2026-04-08",21,"All Samples Below LOD",1,1,1,1,"Very Low","All Samples Below LOD",0,0,0,TRUE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","infa","Bay Area","Amer_Canyon_Napa","Napa (American Canyon)","2026-04-08",21,"Sporadic Detections",1,1,1,1,"Very Low","Sporadic Detections",0,0,0,TRUE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","n","Bay Area","Amer_Canyon_Napa","Napa (American Canyon)","2026-04-08",21,"Sporadic Detections",1,1,1,1,"Very Low","Sporadic Detections",0,0,0,TRUE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","rsv","Bay Area","Amer_Canyon_Napa","Napa (American Canyon)","2026-04-08",21,"Sporadic Detections",1,1,1,1,"Very Low","Sporadic Detections",0,0,0,TRUE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","h5","Bay Area","CCCSD_WWTP","Contra Costa (Central San)","2026-04-08",21,"All Samples Below LOD",1,1,1,1,"Very Low","All Samples Below LOD",0,0,0,FALSE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","infa","Bay Area","CCCSD_WWTP","Contra Costa (Central San)","2026-04-08",21,"Consistent Detections",1,1,1,1,"Very Low","Decrease",-80.5779970852922,-88.7579873922041,-66.4460261361622,FALSE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","n","Bay Area","CCCSD_WWTP","Contra Costa (Central San)","2026-04-08",21,"Consistent Detections",1,1,1,1,"Very Low","Increase",73.4691228566136,16.8308329489829,157.565026501036,FALSE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","rsv","Bay Area","CCCSD_WWTP","Contra Costa (Central San)","2026-04-08",21,"Consistent Detections",1,1,1,1,"Very Low","Decrease",-51.7391351897999,-64.562679145273,-34.275193043615,FALSE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","h5","Bay Area","DelDiablo","Contra Costa (Delta Diablo: Pittsburg/Antioch/Bay Point)","2026-04-12",21,"All Samples Below LOD",1,1,1,1,"Very Low","All Samples Below LOD",0,0,0,TRUE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","infa","Bay Area","DelDiablo","Contra Costa (Delta Diablo: Pittsburg/Antioch/Bay Point)","2026-04-12",21,"Sporadic Detections",1,1,1,1,"Very Low","Sporadic Detections",0,0,0,TRUE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","n","Bay Area","DelDiablo","Contra Costa (Delta Diablo: Pittsburg/Antioch/Bay Point)","2026-04-12",21,"Consistent Detections",1,1,1,1,"Very Low","Decrease",-80.112232927701,-92.0683325929338,-50.1336530110108,TRUE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","rsv","Bay Area","DelDiablo","Contra Costa (Delta Diablo: Pittsburg/Antioch/Bay Point)","2026-04-12",21,"Consistent Detections",1,1,1,1,"Very Low","Decrease",-58.5859201787029,-78.2986211664849,-20.9669569568565,TRUE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","h5","Bay Area","EBMUD","Alameda (East Bay)","2026-04-09",21,"All Samples Below LOD",1,1,1,1,"Very Low","All Samples Below LOD",0,0,0,TRUE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","infa","Bay Area","EBMUD","Alameda (East Bay)","2026-04-09",21,"Consistent Detections",1,1,1,1,"Very Low","Very Strong Increase",725.901275706375,315.043590017936,1543.47295951237,TRUE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","n","Bay Area","EBMUD","Alameda (East Bay)","2026-04-09",21,"Consistent Detections",1,1,1,1,"Very Low","Strong Increase",212.054808644145,156.621025264543,279.463075940679,TRUE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","rsv","Bay Area","EBMUD","Alameda (East Bay)","2026-04-09",21,"Consistent Detections",1,1,1,1,"Very Low","Plateau",-9.09563417897919,-13.0566079200327,-4.95420609168985,TRUE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","h5","Bay Area","SFPUC_SE","San Francisco (Southeast)","2026-04-08",21,"All Samples Below LOD",1,1,1,1,"Very Low","All Samples Below LOD",0,0,0,FALSE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","infa","Bay Area","SFPUC_SE","San Francisco (Southeast)","2026-04-08",21,"Sporadic Detections",1,1,1,1,"Very Low","Sporadic Detections",0,0,0,FALSE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","n","Bay Area","SFPUC_SE","San Francisco (Southeast)","2026-04-08",21,"Consistent Detections",1,1,1,1,"Very Low","Decrease",-89.2168726778829,-95.5068481683668,-74.1215433615289,FALSE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","rsv","Bay Area","SFPUC_SE","San Francisco (Southeast)","2026-04-08",21,"Consistent Detections",1,1,1,1,"Very Low","Potential Plateau",17.8488708305347,-18.353888993356,70.1043219915505,FALSE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","h5","Bay Area","SFPUC_SE_Alabama","San Francisco (Alabama (Eastern Mission District))","2026-04-08",21,"All Samples Below LOD",1,1,1,1,"Very Low","All Samples Below LOD",0,0,0,TRUE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","infa","Bay Area","SFPUC_SE_Alabama","San Francisco (Alabama (Eastern Mission District))","2026-04-08",21,"Sporadic Detections",1,1,1,1,"Very Low","Sporadic Detections",0,0,0,TRUE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","n","Bay Area","SFPUC_SE_Alabama","San Francisco (Alabama (Eastern Mission District))","2026-04-08",21,"Sporadic Detections",1,1,1,1,"Very Low","Sporadic Detections",0,0,0,TRUE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","rsv","Bay Area","SFPUC_SE_Alabama","San Francisco (Alabama (Eastern Mission District))","2026-04-08",21,"Consistent Detections",1,1,1,1,"Very Low","Potential Increase",48.7625066934092,10.9060369548981,99.5408365976173,TRUE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","h5","Bay Area","SFPUC_SE_Ingalls","San Francisco (Ingalls (Smaller section of the S. Bayview))","2026-04-08",21,"All Samples Below LOD",1,1,1,1,"Very Low","All Samples Below LOD",0,0,0,TRUE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","infa","Bay Area","SFPUC_SE_Ingalls","San Francisco (Ingalls (Smaller section of the S. Bayview))","2026-04-08",21,"Sporadic Detections",1,1,1,1,"Very Low","Sporadic Detections",0,0,0,TRUE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","n","Bay Area","SFPUC_SE_Ingalls","San Francisco (Ingalls (Smaller section of the S. Bayview))","2026-04-08",21,"Consistent Detections",1,1,1,1,"Very Low","Very Strong Increase",829.444677782865,-45.6748557403964,15801.7968720107,TRUE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","rsv","Bay Area","SFPUC_SE_Ingalls","San Francisco (Ingalls (Smaller section of the S. Bayview))","2026-04-08",21,"Consistent Detections",1,1,1,1,"Very Low","Plateau",-6.82837900056724,-13.3921524165597,0.232844965907808,TRUE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","h5","Bay Area","SFPUC_SE_Jackson","San Francisco (Jackson (Chinatown & parts of N. Beach))","2026-04-08",21,"All Samples Below LOD",1,1,1,1,"Very Low","All Samples Below LOD",0,0,0,TRUE,"2026-04-21","Bay Area"
"CDPH Drinking Water and Radiation Lab","dwrl","infa","Bay Area","SFPUC_SE_Jackson","San Francisco (Jackson (Chinatown & parts of N. Beach))","2026-04-08",21,"Consistent Detections",1,1,1,1,"Very Low","Decrease",-96.054680143086,-98.3085668405106,-90.797420113214,TRUE,"2026-04-21","Bay Area"
